FECHA HECHO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,TIPO_EVENTO,AÑO,TIPO,ARMAS MEDIOS,GENERO,GRUPO ETARÍO,Zona,Edad,UsuarioVia,ActorVial
2026-02-18,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-18,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-14,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-13,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-13,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-12,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-12,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-12,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-12,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-12,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-11,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-11,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-11,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-11,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-10,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-08,CUNDINAMARCA,25430,MADRID,2.0,ACCIDENTE,2026,,,,,,,,
2026-02-07,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-06,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-06,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-06,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-05,CUNDINAMARCA,25430,MADRID,2.0,ACCIDENTE,2026,,,,,,,,
2026-02-05,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-05,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-04,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-03,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-03,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-02,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-02,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-02-02,CUNDINAMARCA,25430,MADRID,2.0,ACCIDENTE,2026,,,,,,,,
2026-02-01,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-31,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-31,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-30,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-29,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-29,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-29,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-29,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-29,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-28,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-28,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-27,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-27,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-26,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-25,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-25,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-23,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-23,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-23,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-23,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-22,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-21,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-21,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-21,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-20,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-20,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-17,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-17,CUNDINAMARCA,25286,FUNZA,8.0,ACCIDENTE,2026,,,,,,,,
2026-01-16,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-15,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-15,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-15,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-15,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-15,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-14,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-13,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-12,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-12,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
